TP_FAIXA_ETARIA;TP_SEXO;TP_ANO_CONCLUIU;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;SG_UF_PROVA;Q007;Q019;Q021;Q023
3;F;0;5218904;Rubiataba;GO;B;A;B;A
5;F;2;5211800;Jaraguá;GO;B;A;B;A
3;M;0;5218904;Rubiataba;GO;E;B;A;A
3;F;0;5210901;Itapaci;GO;C;A;A;A
2;F;0;5210901;Itapaci;GO;B;A;A;A
7;F;5;5205406;Ceres;GO;E;A;B;E
3;F;0;5211800;Jaraguá;GO;C;A;B;A
3;F;0;5210901;Itapaci;GO;F;A;B;B
2;M;0;5218904;Rubiataba;GO;G;A;B;A
5;F;2;5208608;Goianésia;GO;B;A;A;A
2;M;0;5218904;Rubiataba;GO;E;A;B;A
1;F;0;5210901;Itapaci;GO;A;A;A;A
4;M;1;5205406;Ceres;GO;B;A;A;A
4;F;2;5210901;Itapaci;GO;C;A;B;A
5;F;3;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;B;A
2;F;0;5205406;Ceres;GO;D;B;A;A
2;F;0;5205406;Ceres;GO;C;A;A;A
4;F;1;5210901;Itapaci;GO;B;A;A;A
2;F;0;5218904;Rubiataba;GO;C;A;A;A
4;F;1;5211800;Jaraguá;GO;M;A;B;A
11;M;9;5211206;Itapuranga;GO;G;A;B;A
2;F;0;5205406;Ceres;GO;C;B;C;A
3;F;0;5211800;Jaraguá;GO;G;A;B;B
3;F;1;5205406;Ceres;GO;D;A;A;A
3;M;0;5208608;Goianésia;GO;E;A;B;A
3;F;0;5210901;Itapaci;GO;C;A;A;A
2;F;0;5205406;Ceres;GO;B;A;B;A
4;F;1;5205406;Ceres;GO;B;A;A;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;D;A;B;A
4;F;1;5205406;Ceres;GO;C;A;A;A
3;F;0;5211800;Jaraguá;GO;E;A;A;D
5;F;3;5205406;Ceres;GO;B;A;A;A
2;F;0;5210901;Itapaci;GO;B;A;B;A
2;F;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;C;A;B;A
1;F;0;5211206;Itapuranga;GO;C;A;A;A
2;F;0;5211206;Itapuranga;GO;B;A;A;B
3;F;0;5210901;Itapaci;GO;B;A;B;A
2;M;0;5205406;Ceres;GO;B;B;B;A
3;M;0;5210901;Itapaci;GO;C;B;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
3;F;0;5208608;Goianésia;GO;B;B;A;A
3;F;0;5211206;Itapuranga;GO;B;A;A;A
4;F;1;5211206;Itapuranga;GO;B;B;B;A
2;F;0;5208608;Goianésia;GO;G;B;B;A
2;M;0;5205406;Ceres;GO;C;A;B;A
2;F;0;5205406;Ceres;GO;D;A;B;A
11;F;8;5211800;Jaraguá;GO;D;A;B;A
2;F;0;5208608;Goianésia;GO;B;A;B;A
15;F;0;5208608;Goianésia;GO;D;A;A;A
3;M;0;5205406;Ceres;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5211800;Jaraguá;GO;C;A;B;A
3;F;0;5218904;Rubiataba;GO;D;A;A;A
12;F;16;5208608;Goianésia;GO;G;A;B;A
2;M;0;5205406;Ceres;GO;O;B;B;D
6;F;3;5211800;Jaraguá;GO;F;A;B;A
2;F;0;5208608;Goianésia;GO;A;A;A;A
5;F;3;5205406;Ceres;GO;D;A;A;A
1;F;0;5208608;Goianésia;GO;G;B;A;A
1;F;0;5205406;Ceres;GO;H;A;B;E
3;F;1;5205406;Ceres;GO;C;A;B;A
7;M;3;5208608;Goianésia;GO;D;A;A;A
1;F;0;5211206;Itapuranga;GO;C;A;B;A
5;F;2;5211206;Itapuranga;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;D;A;A;A
2;M;0;5211800;Jaraguá;GO;L;B;C;A
2;F;0;5210901;Itapaci;GO;C;A;A;A
3;F;0;5205406;Ceres;GO;D;A;A;A
2;F;0;5210901;Itapaci;GO;E;A;A;B
3;M;0;5208608;Goianésia;GO;G;A;B;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
7;M;4;5210901;Itapaci;GO;K;A;C;B
4;F;0;5205406;Ceres;GO;C;A;A;A
3;M;0;5211206;Itapuranga;GO;N;B;B;A
6;M;3;5218904;Rubiataba;GO;B;A;B;A
3;F;0;5210901;Itapaci;GO;B;A;A;B
5;F;3;5208608;Goianésia;GO;C;A;A;A
4;M;1;5211206;Itapuranga;GO;F;A;B;A
3;M;1;5218904;Rubiataba;GO;B;A;A;A
2;M;0;5211206;Itapuranga;GO;H;A;C;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;G;A;B;D
5;F;0;5208608;Goianésia;GO;A;A;A;A
2;F;0;5218904;Rubiataba;GO;D;B;B;A
1;M;0;5208608;Goianésia;GO;H;B;D;D
4;F;0;5205406;Ceres;GO;B;A;A;E
4;M;0;5210901;Itapaci;GO;A;A;A;A
1;F;0;5210901;Itapaci;GO;A;A;A;B
1;F;0;5210901;Itapaci;GO;K;B;B;A
2;F;0;5210901;Itapaci;GO;D;A;A;A
3;M;0;5208608;Goianésia;GO;H;A;B;D
5;F;2;5210901;Itapaci;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;E;B;B;A
2;M;0;5208608;Goianésia;GO;E;B;B;A
2;F;0;5211206;Itapuranga;GO;B;A;A;C
2;M;0;5211206;Itapuranga;GO;N;B;C;A
7;M;0;5205406;Ceres;GO;C;A;A;A
2;F;0;5210901;Itapaci;GO;A;A;A;A
6;F;3;5210901;Itapaci;GO;E;A;B;A
1;F;0;5211206;Itapuranga;GO;D;A;B;A
11;M;7;5208608;Goianésia;GO;E;A;A;A
1;F;0;5208608;Goianésia;GO;N;B;C;F
4;F;1;5211800;Jaraguá;GO;C;A;C;A
3;F;0;5210901;Itapaci;GO;B;A;B;A
3;F;1;5208608;Goianésia;GO;J;A;B;D
2;M;0;5208608;Goianésia;GO;H;A;B;A
2;F;0;5211800;Jaraguá;GO;C;A;A;A
6;F;3;5208608;Goianésia;GO;B;A;A;A
1;M;0;5210901;Itapaci;GO;C;A;B;B
3;M;0;5211206;Itapuranga;GO;D;B;B;A
6;M;4;5205406;Ceres;GO;D;A;B;A
3;M;0;5208608;Goianésia;GO;A;A;A;A
2;M;0;5205406;Ceres;GO;B;A;B;A
7;M;0;5211206;Itapuranga;GO;C;A;A;A
4;F;1;5210901;Itapaci;GO;C;A;B;B
3;M;0;5205406;Ceres;GO;D;B;B;A
4;M;2;5205406;Ceres;GO;K;B;B;A
5;F;2;5208608;Goianésia;GO;D;A;B;A
4;F;2;5210901;Itapaci;GO;E;A;A;A
3;M;0;5211206;Itapuranga;GO;B;A;B;A
1;F;0;5211206;Itapuranga;GO;F;A;A;A
2;F;0;5208608;Goianésia;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;C;B;A;A
1;M;0;5208608;Goianésia;GO;D;A;B;A
3;M;0;5211206;Itapuranga;GO;B;A;B;A
2;M;0;5210901;Itapaci;GO;G;B;A;E
3;M;1;5205406;Ceres;GO;I;A;B;C
2;F;0;5205406;Ceres;GO;C;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
1;F;0;5211206;Itapuranga;GO;E;B;C;B
2;M;0;5211800;Jaraguá;GO;A;A;A;A
1;F;0;5205406;Ceres;GO;K;A;B;A
15;M;18;5211206;Itapuranga;GO;D;A;A;A
1;F;0;5208608;Goianésia;GO;E;B;A;A
3;M;0;5211800;Jaraguá;GO;E;A;B;A
1;F;0;5208608;Goianésia;GO;F;B;A;A
3;F;0;5211800;Jaraguá;GO;A;A;A;A
3;F;0;5218904;Rubiataba;GO;C;A;A;A
3;F;0;5218904;Rubiataba;GO;D;A;A;A
2;M;0;5211206;Itapuranga;GO;D;A;A;A
1;F;0;5210901;Itapaci;GO;B;A;B;A
12;F;16;5208608;Goianésia;GO;F;A;B;A
1;F;0;5208608;Goianésia;GO;E;A;A;A
1;F;0;5211206;Itapuranga;GO;B;A;A;A
12;F;15;5218904;Rubiataba;GO;G;A;B;A
4;M;0;5211800;Jaraguá;GO;J;A;B;A
1;F;0;5211800;Jaraguá;GO;G;A;B;D
2;F;0;5211206;Itapuranga;GO;D;A;B;A
1;M;0;5205406;Ceres;GO;E;B;B;A
2;F;0;5208608;Goianésia;GO;C;A;A;A
3;F;1;5211800;Jaraguá;GO;B;A;A;A
7;F;4;5205406;Ceres;GO;D;A;B;A
5;F;3;5210901;Itapaci;GO;A;A;A;A
2;F;0;5211206;Itapuranga;GO;C;B;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
2;F;0;5211206;Itapuranga;GO;N;B;D;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
1;M;0;5208608;Goianésia;GO;F;A;A;A
2;M;0;5208608;Goianésia;GO;C;A;B;A
5;M;2;5205406;Ceres;GO;H;B;B;D
1;F;0;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5211800;Jaraguá;GO;I;B;C;A
1;M;0;5211206;Itapuranga;GO;Q;A;C;B
2;F;0;5211206;Itapuranga;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;C;A;A;A
8;M;4;5205406;Ceres;GO;D;A;A;A
2;F;0;5205406;Ceres;GO;G;A;B;D
1;F;0;5211206;Itapuranga;GO;D;A;A;A
8;F;6;5208608;Goianésia;GO;B;A;B;A
5;M;3;5205406;Ceres;GO;C;A;B;A
7;M;4;5210901;Itapaci;GO;C;A;B;A
1;M;0;5210901;Itapaci;GO;B;A;A;A
6;M;3;5211800;Jaraguá;GO;C;A;A;A
4;M;2;5208608;Goianésia;GO;B;A;B;A
4;M;0;5210901;Itapaci;GO;B;A;A;A
2;M;0;5210901;Itapaci;GO;E;B;B;A
2;F;0;5205406;Ceres;GO;G;A;C;A
2;F;0;5210901;Itapaci;GO;G;B;B;A
1;F;0;5208608;Goianésia;GO;G;A;A;A
3;M;0;5205406;Ceres;GO;F;A;A;A
11;M;11;5205406;Ceres;GO;C;A;A;A
1;F;0;5211206;Itapuranga;GO;D;A;B;A
3;M;0;5208608;Goianésia;GO;G;B;D;A
3;M;0;5211206;Itapuranga;GO;D;A;B;A
2;F;0;5208608;Goianésia;GO;G;B;C;A
3;M;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5210901;Itapaci;GO;B;A;B;A
3;M;0;5211800;Jaraguá;GO;B;A;A;A
5;F;2;5208608;Goianésia;GO;D;A;A;A
3;M;1;5205406;Ceres;GO;Q;B;E;D
2;F;0;5211206;Itapuranga;GO;B;A;A;A
3;M;0;5210901;Itapaci;GO;B;B;B;A
1;F;0;5210901;Itapaci;GO;E;A;B;A
3;M;0;5208608;Goianésia;GO;C;A;A;A
16;M;14;5211206;Itapuranga;GO;C;A;B;A
4;F;0;5210901;Itapaci;GO;B;B;B;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
4;F;2;5211800;Jaraguá;GO;D;A;B;A
1;F;0;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5210901;Itapaci;GO;C;A;A;C
3;F;0;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;B;B;E;A
3;F;0;5205406;Ceres;GO;B;A;B;A
6;F;0;5211800;Jaraguá;GO;B;A;B;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;C;A;A;A
2;M;0;5205406;Ceres;GO;D;A;B;A
2;M;0;5205406;Ceres;GO;B;A;B;A
2;M;0;5211206;Itapuranga;GO;J;B;C;A
3;F;0;5208608;Goianésia;GO;A;A;A;A
1;F;0;5211206;Itapuranga;GO;C;B;A;A
3;M;0;5218904;Rubiataba;GO;B;B;B;A
2;F;0;5208608;Goianésia;GO;D;B;B;D
2;M;0;5208608;Goianésia;GO;E;B;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;C;A;C;A
2;M;0;5208608;Goianésia;GO;C;A;A;A
4;M;1;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5211206;Itapuranga;GO;B;A;A;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
11;F;13;5218904;Rubiataba;GO;C;A;B;A
4;M;0;5211800;Jaraguá;GO;C;A;A;A
4;M;1;5218904;Rubiataba;GO;B;A;A;A
7;F;4;5211800;Jaraguá;GO;C;A;A;A
6;F;3;5211800;Jaraguá;GO;B;A;A;A
13;F;17;5205406;Ceres;GO;E;A;C;A
14;M;18;5208608;Goianésia;GO;C;A;B;A
5;F;2;5205406;Ceres;GO;A;A;A;A
1;M;0;5205406;Ceres;GO;B;A;A;A
16;F;0;5211800;Jaraguá;GO;B;A;A;A
1;F;0;5205406;Ceres;GO;C;A;C;A
14;M;0;5205406;Ceres;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;C;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
4;F;1;5208608;Goianésia;GO;C;A;B;A
5;F;2;5208608;Goianésia;GO;C;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;B;A;A;A
7;M;4;5218904;Rubiataba;GO;C;A;B;A
2;M;0;5218904;Rubiataba;GO;C;A;A;A
2;M;0;5208608;Goianésia;GO;H;A;D;A
3;M;0;5211206;Itapuranga;GO;H;A;C;A
11;M;0;5211206;Itapuranga;GO;D;A;B;B
12;M;14;5211206;Itapuranga;GO;B;A;A;A
5;M;3;5210901;Itapaci;GO;B;A;A;A
2;F;0;5208608;Goianésia;GO;A;A;A;A
1;F;0;5210901;Itapaci;GO;A;A;A;A
1;F;0;5211206;Itapuranga;GO;B;A;A;A
1;F;0;5211206;Itapuranga;GO;G;B;B;A
2;M;0;5218904;Rubiataba;GO;B;A;A;A
1;M;0;5208608;Goianésia;GO;D;A;A;E
3;M;0;5208608;Goianésia;GO;C;A;B;A
11;M;10;5211800;Jaraguá;GO;K;A;E;A
1;M;0;5211206;Itapuranga;GO;B;A;A;A
1;M;0;5205406;Ceres;GO;G;A;B;E
3;F;0;5208608;Goianésia;GO;B;B;A;A
2;M;0;5205406;Ceres;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;M;B;B;B
2;M;0;5210901;Itapaci;GO;D;A;B;A
2;F;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5218904;Rubiataba;GO;B;B;B;A
3;F;0;5205406;Ceres;GO;C;B;B;A
2;F;0;5208608;Goianésia;GO;C;A;A;A
4;F;2;5218904;Rubiataba;GO;D;A;B;A
1;F;0;5210901;Itapaci;GO;D;B;B;A
1;F;0;5205406;Ceres;GO;E;B;B;B
1;F;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5210901;Itapaci;GO;G;B;B;A
1;F;0;5205406;Ceres;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;J;B;C;D
3;M;0;5205406;Ceres;GO;B;B;B;A
3;F;0;5208608;Goianésia;GO;D;A;B;A
3;F;0;5211206;Itapuranga;GO;D;A;B;A
3;F;0;5211206;Itapuranga;GO;A;B;A;A
1;F;0;5210901;Itapaci;GO;J;B;D;D
3;M;0;5210901;Itapaci;GO;B;A;A;A
2;F;0;5218904;Rubiataba;GO;D;A;B;A
12;F;16;5208608;Goianésia;GO;H;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
3;M;0;5211206;Itapuranga;GO;B;B;A;A
3;M;0;5208608;Goianésia;GO;A;A;A;A
2;M;0;5210901;Itapaci;GO;H;A;C;A
1;F;0;5210901;Itapaci;GO;D;A;B;E
3;F;0;5218904;Rubiataba;GO;C;A;B;A
4;F;0;5205406;Ceres;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;C;B;D;A
2;M;0;5211800;Jaraguá;GO;A;A;A;A
2;F;0;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;A;A
4;F;1;5218904;Rubiataba;GO;H;B;A;A
4;F;1;5211206;Itapuranga;GO;F;A;B;B
3;F;0;5211206;Itapuranga;GO;D;A;A;A
4;F;2;5205406;Ceres;GO;G;B;A;A
2;F;0;5210901;Itapaci;GO;D;B;A;D
2;F;0;5211206;Itapuranga;GO;C;A;A;A
3;F;0;5211800;Jaraguá;GO;C;A;A;A
11;F;0;5210901;Itapaci;GO;B;A;A;A
1;F;0;5205406;Ceres;GO;D;A;B;A
3;F;0;5211800;Jaraguá;GO;A;A;A;A
6;F;3;5208608;Goianésia;GO;D;A;A;A
2;M;0;5211206;Itapuranga;GO;B;A;B;A
1;F;0;5208608;Goianésia;GO;H;B;B;D
3;M;0;5211206;Itapuranga;GO;C;A;B;A
3;F;0;5205406;Ceres;GO;C;A;A;A
3;M;0;5208608;Goianésia;GO;D;A;A;A
1;F;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;F;A;A;A
3;M;0;5208608;Goianésia;GO;A;A;B;A
4;M;1;5205406;Ceres;GO;F;A;A;A
3;F;0;5205406;Ceres;GO;F;A;B;C
3;M;0;5208608;Goianésia;GO;H;B;D;A
4;M;0;5210901;Itapaci;GO;B;A;A;A
6;M;0;5211206;Itapuranga;GO;B;A;A;A
2;M;0;5208608;Goianésia;GO;B;A;B;A
1;F;0;5208608;Goianésia;GO;A;A;A;A
3;M;0;5208608;Goianésia;GO;C;A;B;A
1;M;0;5211800;Jaraguá;GO;M;B;C;D
1;F;0;5205406;Ceres;GO;M;A;B;D
4;M;0;5210901;Itapaci;GO;B;A;B;A
8;M;4;5208608;Goianésia;GO;E;A;B;A
2;M;0;5208608;Goianésia;GO;F;A;A;A
1;M;0;5210901;Itapaci;GO;G;A;A;E
1;F;0;5211206;Itapuranga;GO;H;B;A;A
5;F;2;5208608;Goianésia;GO;D;A;A;A
2;F;0;5211206;Itapuranga;GO;E;A;A;A
13;M;17;5210901;Itapaci;GO;C;A;A;A
2;F;0;5211206;Itapuranga;GO;B;A;A;A
1;M;0;5210901;Itapaci;GO;G;B;A;B
3;M;0;5208608;Goianésia;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;B;A;B;A
1;M;0;5210901;Itapaci;GO;F;A;A;C
5;F;1;5211206;Itapuranga;GO;B;A;A;D
2;F;0;5210901;Itapaci;GO;D;B;C;A
3;F;0;5211206;Itapuranga;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;F;A;A;A
1;F;0;5211206;Itapuranga;GO;B;A;A;A
4;M;2;5205406;Ceres;GO;D;A;B;A
3;M;0;5208608;Goianésia;GO;F;A;B;A
3;M;0;5218904;Rubiataba;GO;C;A;B;A
2;M;0;5210901;Itapaci;GO;J;A;A;D
1;F;0;5208608;Goianésia;GO;F;A;A;A
2;F;0;5211800;Jaraguá;GO;C;A;A;A
2;M;0;5208608;Goianésia;GO;D;B;B;A
9;F;7;5205406;Ceres;GO;B;A;B;A
11;M;11;5205406;Ceres;GO;E;A;A;A
3;F;0;5205406;Ceres;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;I;A;A;A
1;F;0;5205406;Ceres;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;E;B;B;A
3;M;0;5218904;Rubiataba;GO;C;A;B;A
2;F;0;5208608;Goianésia;GO;J;B;C;D
3;M;0;5208608;Goianésia;GO;D;A;A;A
1;F;0;5210901;Itapaci;GO;E;A;A;D
2;F;0;5208608;Goianésia;GO;E;A;B;A
1;F;0;5205406;Ceres;GO;D;A;A;A
6;F;3;5205406;Ceres;GO;C;A;A;A
1;F;0;5211800;Jaraguá;GO;C;A;A;A
1;F;0;5208608;Goianésia;GO;G;B;C;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
8;F;6;5210901;Itapaci;GO;C;A;A;A
2;F;0;5211800;Jaraguá;GO;C;A;A;A
4;F;1;5211206;Itapuranga;GO;C;B;B;A
2;M;0;5210901;Itapaci;GO;E;B;C;A
5;F;2;5208608;Goianésia;GO;E;A;A;A
1;F;0;5205406;Ceres;GO;C;A;A;A
2;M;0;5211206;Itapuranga;GO;I;B;B;A
2;F;0;5210901;Itapaci;GO;B;A;B;A
1;M;0;5210901;Itapaci;GO;L;A;B;A
3;M;0;5208608;Goianésia;GO;C;B;A;A
3;F;0;5208608;Goianésia;GO;C;B;B;A
1;F;0;5210901;Itapaci;GO;E;B;B;A
1;F;0;5208608;Goianésia;GO;B;A;A;A
6;F;4;5205406;Ceres;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;O;B;D;D
3;F;0;5208608;Goianésia;GO;F;A;B;C
3;F;0;5205406;Ceres;GO;B;A;A;A
7;F;6;5205406;Ceres;GO;B;A;B;A
2;F;0;5210901;Itapaci;GO;B;A;A;A
2;F;0;5218904;Rubiataba;GO;B;A;A;A
5;F;3;5205406;Ceres;GO;H;A;C;C
12;M;18;5211206;Itapuranga;GO;C;A;B;A
3;F;0;5208608;Goianésia;GO;D;A;B;A
3;M;0;5210901;Itapaci;GO;C;A;A;A
2;M;0;5208608;Goianésia;GO;F;A;A;A
3;M;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;F;A;B;A
2;F;0;5218904;Rubiataba;GO;E;A;B;A
3;F;0;5208608;Goianésia;GO;C;A;B;A
3;F;0;5211800;Jaraguá;GO;B;A;B;A
3;F;0;5211800;Jaraguá;GO;C;A;A;A
1;M;0;5211206;Itapuranga;GO;A;A;A;A
3;F;0;5211800;Jaraguá;GO;A;A;A;A
3;F;0;5208608;Goianésia;GO;C;A;B;A
3;M;0;5208608;Goianésia;GO;G;A;B;A
1;F;0;5208608;Goianésia;GO;J;B;B;F
2;F;0;5205406;Ceres;GO;E;B;B;E
3;F;1;5208608;Goianésia;GO;C;A;C;B
2;F;0;5210901;Itapaci;GO;C;A;C;A
3;M;0;5210901;Itapaci;GO;B;A;A;A
3;F;0;5210901;Itapaci;GO;B;A;A;A
4;F;1;5208608;Goianésia;GO;F;A;A;A
3;F;1;5208608;Goianésia;GO;C;B;A;A
3;F;0;5211206;Itapuranga;GO;E;A;B;A
2;F;0;5208608;Goianésia;GO;C;A;B;A
4;F;1;5205406;Ceres;GO;B;A;A;A
3;F;0;5210901;Itapaci;GO;E;A;B;A
3;F;0;5210901;Itapaci;GO;B;A;A;A
1;M;0;5210901;Itapaci;GO;J;A;B;B
4;F;1;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;G;B;B;A
2;M;0;5205406;Ceres;GO;C;A;A;A
14;M;18;5208608;Goianésia;GO;A;A;A;A
4;F;0;5208608;Goianésia;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;C;A;A;A
1;M;0;5218904;Rubiataba;GO;C;A;A;A
3;M;0;5205406;Ceres;GO;C;A;B;A
3;F;0;5205406;Ceres;GO;E;A;B;A
1;F;0;5205406;Ceres;GO;B;B;A;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
3;F;0;5211206;Itapuranga;GO;C;A;A;A
2;F;0;5211800;Jaraguá;GO;D;A;B;A
2;F;0;5211800;Jaraguá;GO;C;A;A;A
7;M;2;5208608;Goianésia;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5211800;Jaraguá;GO;B;A;A;A
2;F;0;5205406;Ceres;GO;E;A;A;A
2;M;0;5210901;Itapaci;GO;C;A;B;A
3;F;0;5205406;Ceres;GO;B;A;B;A
2;M;0;5205406;Ceres;GO;D;A;C;A
1;M;0;5210901;Itapaci;GO;A;A;A;A
3;F;1;5211206;Itapuranga;GO;C;A;A;A
1;F;0;5205406;Ceres;GO;B;A;A;A
3;M;0;5210901;Itapaci;GO;H;B;C;A
3;M;0;5208608;Goianésia;GO;F;A;B;A
1;F;0;5210901;Itapaci;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;H;A;B;A
2;M;0;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5208608;Goianésia;GO;C;A;A;A
3;M;0;5211800;Jaraguá;GO;E;A;B;A
3;M;0;5208608;Goianésia;GO;B;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;B
3;F;1;5218904;Rubiataba;GO;B;A;B;A
3;M;0;5205406;Ceres;GO;H;B;D;B
3;M;0;5208608;Goianésia;GO;D;A;A;A
1;M;0;5205406;Ceres;GO;B;A;A;A
2;F;0;5210901;Itapaci;GO;G;B;B;B
1;F;0;5208608;Goianésia;GO;C;A;B;A
5;M;2;5205406;Ceres;GO;I;A;B;A
11;F;5;5211800;Jaraguá;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;D;A;C;A
8;F;5;5211800;Jaraguá;GO;B;A;A;A
11;M;11;5205406;Ceres;GO;E;A;B;A
3;M;0;5211206;Itapuranga;GO;C;A;A;A
3;M;0;5218904;Rubiataba;GO;B;A;A;A
3;F;1;5205406;Ceres;GO;G;A;A;A
2;M;0;5205406;Ceres;GO;B;A;B;A
4;M;1;5208608;Goianésia;GO;G;A;B;A
3;F;0;5211206;Itapuranga;GO;D;A;A;A
2;F;0;5210901;Itapaci;GO;F;B;A;D
3;F;0;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5211800;Jaraguá;GO;C;A;B;A
3;M;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5211800;Jaraguá;GO;D;A;A;A
3;F;0;5208608;Goianésia;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;C;A;B;A
1;F;0;5218904;Rubiataba;GO;B;A;A;A
12;F;0;5208608;Goianésia;GO;C;A;B;A
3;M;0;5205406;Ceres;GO;C;A;B;B
1;M;0;5211800;Jaraguá;GO;B;A;B;A
1;F;0;5210901;Itapaci;GO;L;B;E;D
2;M;0;5205406;Ceres;GO;B;A;A;A
3;F;0;5205406;Ceres;GO;K;B;A;A
9;F;8;5218904;Rubiataba;GO;D;A;B;A
3;M;0;5210901;Itapaci;GO;G;A;B;A
1;M;0;5208608;Goianésia;GO;K;B;C;D
2;F;0;5211800;Jaraguá;GO;B;A;A;A
4;F;1;5208608;Goianésia;GO;C;A;A;B
3;F;0;5211800;Jaraguá;GO;B;A;A;A
3;M;0;5205406;Ceres;GO;C;A;E;A
4;M;2;5205406;Ceres;GO;E;A;B;D
3;M;0;5208608;Goianésia;GO;B;B;A;A
11;F;0;5218904;Rubiataba;GO;B;A;A;A
2;M;0;5205406;Ceres;GO;C;B;C;A
4;F;2;5211800;Jaraguá;GO;G;B;A;D
1;F;0;5210901;Itapaci;GO;B;A;A;A
1;F;0;5208608;Goianésia;GO;D;B;B;A
2;F;0;5208608;Goianésia;GO;D;B;A;A
2;M;0;5208608;Goianésia;GO;G;B;B;A
1;M;0;5211206;Itapuranga;GO;B;B;B;A
1;M;0;5211800;Jaraguá;GO;B;A;A;A
1;M;0;5210901;Itapaci;GO;B;A;A;A
1;F;0;5218904;Rubiataba;GO;A;A;C;A
2;F;0;5211206;Itapuranga;GO;B;A;A;A
5;F;3;5208608;Goianésia;GO;F;B;B;A
1;M;0;5211206;Itapuranga;GO;F;B;E;A
5;F;3;5211206;Itapuranga;GO;B;A;A;A
4;F;1;5208608;Goianésia;GO;I;B;C;A
1;F;0;5210901;Itapaci;GO;F;A;B;A
4;M;0;5210901;Itapaci;GO;C;B;B;A
1;M;0;5208608;Goianésia;GO;H;A;B;B
1;F;0;5211206;Itapuranga;GO;B;A;A;B
1;F;0;5210901;Itapaci;GO;C;A;B;A
1;M;0;5205406;Ceres;GO;F;B;D;A
3;F;1;5205406;Ceres;GO;N;B;D;D
2;F;0;5211206;Itapuranga;GO;E;A;A;A
